WO_ID,WO_Date,Equipment,Notes,Start,Finish,Tech,Area
WO-550085,2024-06-27,110-p-009,checked; misalignment / coupling wear; fixed,2024-06-28 00:19,2024-06-28 09:07,Nina,Wastewater
WO-550031,2023-07-06,TX-503,Low lube oil pressure alarm; filter found dirty; cleaned and replaced element.,,2023-07-07 00:24,Fajar,Area-200
WO-550173,2025-11-27,TX506,trip; reset ok,,2025-11-27 07:48,Andi,Wastewater
WO-550070,2024-05-03,LT-1723,trip - impulse issue; reset attempted,2024-05-03 19:47,2024-05-03 23:14,Budi,Utilities
WO-650166,2024-09-23,CV-403,routine inspection done,2024-09-23 13:00,2024-09-23 15:16,Dewi,Area-100
WO-650080,2023-10-15,PMP-109,Adjusted and verified,,2023-10-15 11:56,Budi,Area-300
WO-550118,2024-12-25,TT 1566,Intermittent signal noise; HART comms errors; checked grounding/shield.,2024-12-25 21:31,2024-12-25 22:44,Fajar,Area-300
WO-550081,2024-06-04,205C009B,trip - lube issue; reset attempted,2024-06-04 02:36,2024-06-04 07:32,Nina,Area-400
WO-550152,2025-08-11,401-FV-316,checked; travel sensor / positioner fault; fixed,2025-08-11 01:59,2025-08-11 05:45,Fajar,Area-200
WO-550039,2023-10-05,PMP-104,Bearing noise audible; grease contaminated; bearings replaced.,2023-10-05 08:13,2023-10-05 16:43,Rina,Area-300
WO-550133,2025-05-02,103-p-006,Unit tripped on high temperature; reset unsuccessful; cooler suspected fouling.,2025-05-02 02:17,2025-05-02 05:37,Rina,Area-300
WO-550120,2025-01-05,TX505,abnormal; repaired,2025-01-05 05:50,2025-01-05 07:26,Sari,Utilities
WO-550002,2023-01-24,PMP-107,trip - impeller issue; reset attempted,2023-01-24 19:25,2023-01-25 04:44,Fajar,Area-400
WO-650209,2025-02-28,PMP109,PM lube; vibration elevated; route follow-up,2025-02-28 14:00,2025-02-28 15:49,Rina,Area-300
WO-550073,2024-05-10,111P006A,checked; cavitation damage; fixed,2024-05-10 19:54,2024-05-11 00:40,Andi,Area-100
WO-550080,2024-06-02,111 P 006A,checked; cavitation damage; fixed,2024-06-02 10:31,2024-06-02 18:01,Budi,Area-100
WO-550005,2023-01-31,104-P-002,checked; mechanical seal leakage; fixed,2023-01-31 21:59,,Fajar,Area-300
WO-550097,2024-09-01,408 FV 724,inspected; ok after,2024-09-01 17:07,2024-09-01 20:19,Fajar,Area-300
WO-650086,2023-11-10,111 P 006A,inspection completed,2023-11-10 12:00,2023-11-10 12:55,Nina,Area-100
WO-650254,2025-10-31,109-p-002,routine seal flush check done,2025-10-31 09:00,,Rina,Area-300
WO-650139,2024-06-21,CMP-202,Scheduled corrective work order,2024-06-21 07:00,2024-06-21 08:48,Nina,Utilities
WO-550168,2025-11-06,312 M 009,inspected; ok after,2025-11-06 13:04,2025-11-07 03:32,Andi,Area-400
WO-650066,2023-08-29,TX-502,Adjusted and verified,,2023-08-29 14:08,Agus,Area-400
WO-550167,2025-10-29,PMP-102B,abnormal; repaired,2025-10-29 18:32,2025-10-30 00:54,Sari,Area-200
WO-550114,2024-12-02,204 C 005,abnormal; repaired,2024-12-02 14:58,2024-12-02 19:41,Sari,Area-300
WO-550077,2024-05-29,109 P 002,inspected; ok after,2024-05-29 23:21,2024-05-30 12:04,Rina,Area-300
WO-650095,2024-01-05,113 P 004B,Adjusted and verified,,2024-01-05 09:58,Andi,Area-300
WO-550123,2025-01-30,408 FV 724,Unit tripped on high temperature; reset unsuccessful; cooler suspected fouling.,2025-01-30 21:22,2025-01-30 23:59,Nina,Area-300
WO-550172,2025-11-27,TX-506,inspected; ok after,2025-11-27 04:19,2025-11-27 09:14,Sari,Wastewater
WO-550105,2024-10-15,PMP-113B,abnormal; repaired,2024-10-15 04:27,2024-10-15 07:14,Fajar,Area-300
WO-550129,2025-04-15,114-p-003b,abnormal; repaired,2025-04-15 12:27,2025-04-15 18:16,Sari,Area-300
WO-550157,2025-09-19,204 C 005,abnormal; repaired,2025-09-19 23:48,2025-09-20 05:13,Rina,Area-300
WO-550162,2025-10-07,107 P 001,abnormal; repaired,2025-10-07 16:47,2025-10-07 20:25,Andi,Area-400
WO-650112,2024-02-18,310M004,Cleaned and restored,2024-02-18 12:00,,Rina,Area-100
WO-650140,2024-06-23,CV401,inspection completed,2024-06-23 11:00,2024-06-23 12:09,Andi,Area-200
WO-550011,2023-03-16,FT-1270,Valve oscillation reported; signature indicates stiction; packing adjusted.,2023-03-16 15:59,2023-03-16 19:02,Dewi,Tank Farm
WO-550147,2025-07-09,112P001,abnormal; repaired,,2025-07-09 17:16,Nina,Area-300
WO-550048,2023-12-26,205-c-009b,Intermittent signal noise; HART comms errors; checked grounding/shield.,2023-12-26 03:11,2023-12-26 18:18,Budi,Area-400
WO-650232,2025-07-19,203-c-009,PM oil change; no abnormality found,2025-07-19 13:00,2025-07-19 14:16,Budi,Area-100
WO-550004,2023-01-30,PMP101A,trip - cavitation issue; reset attempted,2023-01-30 18:12,2023-01-30 23:22,Rina,Area-100
WO-550034,2023-08-02,FT 1794,checked; impulse line plugging / restriction; fixed,2023-08-02 00:46,2023-08-02 03:20,Dewi,Wastewater
WO-550117,2024-12-20,110 P 009,inspected; ok after,2024-12-20 06:51,2024-12-20 15:39,Sari,Wastewater
WO-650201,2025-01-31,111-p-006a,PM inspection; ir scan indicates warm terminal; re-torqued,2025-01-31 13:00,2025-01-31 14:22,Rina,Area-100
WO-550180,2025-12-31,407-fv-851,trip - travel issue; reset attempted,2025-12-31 07:52,2025-12-31 13:54,Fajar,Area-100
WO-650106,2024-02-01,403 FV 584,PM packing adjust; vibration elevated; route follow-up,2024-02-01 07:00,,Dewi,Area-100
WO-650191,2025-01-16,106-p-003,routine inspection done,2025-01-16 14:00,2025-01-16 15:03,Sari,Area-400
WO-550178,2025-12-25,308-m-001,trip - current/voltage issue; reset attempted,2025-12-25 01:37,2025-12-25 03:48,Nina,Utilities
WO-550014,2023-04-17,310-M-004,inspected; ok after,2023-04-17 21:55,2023-04-18 04:01,Budi,Area-100
WO-550045,2023-11-23,MTR302,checked; bearing failure; fixed,2023-11-23 04:08,2023-11-23 10:01,Dewi,Area-100
WO-550026,2023-06-20,CV-401,checked; packing leakage; fixed,2023-06-20 14:26,,Nina,Area-200
WO-550154,2025-08-21,CV-408,abnormal; repaired,2025-08-21 06:14,2025-08-21 09:07,Budi,Area-300
WO-550001,2023-01-16,302 M 002,inspected; ok after,2023-01-16 18:22,2023-01-16 22:32,Nina,Area-100
WO-550041,2023-10-22,PMP103,inspected; ok after,2023-10-22 18:38,,Fajar,Area-300
WO-550068,2024-04-28,MTR-312,inspected; ok after,2024-04-28 14:37,2024-04-28 19:28,Dewi,Area-400
WO-550140,2025-06-05,114-p-003b,abnormal; repaired,2025-06-05 04:58,2025-06-05 16:21,Rina,Area-300
WO-650047,2023-06-25,PMP102B,inspection completed,2023-06-25 08:00,,Dewi,Area-200
WO-550169,2025-11-10,403 FV 584,Impulse line restriction found; flushed and restored response.,2025-11-10 18:54,2025-11-10 21:22,Budi,Area-100
WO-650020,2023-02-23,305 M 006,routine megger test done,2023-02-23 08:00,,Dewi,Area-400
WO-550051,2024-01-11,FT-1794,checked; signal noise / intermittent communication; fixed,2024-01-11 03:12,2024-01-11 06:12,Budi,Wastewater
WO-550027,2023-06-23,MTR-307,Valve oscillation reported; signature indicates stiction; packing adjusted.,2023-06-23 11:09,,Agus,Utilities
WO-550036,2023-08-17,FT-1270,abnormal; repaired,2023-08-17 23:37,2023-08-18 03:19,Fajar,Tank Farm
WO-550046,2023-12-09,CV402,abnormal; repaired,2023-12-09 04:44,2023-12-09 09:29,Nina,Area-100
WO-550126,2025-02-16,CMP-206B,inspected; ok after,2025-02-16 12:19,2025-02-16 21:18,Budi,Area-300
WO-550100,2024-09-15,MTR-310,Loose terminal found; hot spot on IR; tightened and re-torqued connections.,2024-09-15 13:30,2024-09-15 18:19,Rina,Area-100
WO-550151,2025-08-05,PT-1760,checked; impulse line plugging / restriction; fixed,2025-08-05 11:57,2025-08-05 13:58,Fajar,Area-400
WO-550155,2025-08-27,112-P-001,checked; dry running / loss of suction; fixed,2025-08-27 05:56,2025-08-27 12:04,Fajar,Area-300
WO-550131,2025-04-24,LT1723,inspected; ok after,2025-04-24 07:56,2025-04-24 12:38,Rina,Utilities
WO-650220,2025-05-07,112-p-001,routine lube done,2025-05-07 09:00,,Sari,Area-300
WO-550074,2024-05-11,PMP101A,inspected; ok after,2024-05-11 08:33,2024-05-11 12:47,Fajar,Area-100
WO-650040,2023-05-22,310M004,Lubricated and rechecked,2023-05-22 14:00,2023-05-22 15:27,Sari,Area-100
WO-650138,2024-06-16,206-C-009B,Scheduled corrective work order,2024-06-16 10:00,2024-06-16 12:10,Agus,Area-300
WO-550063,2024-03-27,PT1587,checked; environmental ingress (moisture/corrosion); fixed,2024-03-27 05:25,2024-03-27 07:49,Rina,Tank Farm
WO-550174,2025-11-28,206-C-009B,abnormal; repaired,,2025-11-29 07:09,Agus,Area-300
WO-650024,2023-02-28,102-p-002b,inspection completed,2023-02-28 08:00,2023-02-28 09:36,Andi,Area-200
WO-550150,2025-07-29,113-P-004B,Impulse line restriction found; flushed and restored response.,2025-07-29 22:45,2025-07-30 01:32,Budi,Area-300
WO-550075,2024-05-16,PT1587,Unit tripped on high temperature; reset unsuccessful; cooler suspected fouling.,2024-05-16 10:49,2024-05-16 12:05,Agus,Tank Farm
WO-550084,2024-06-26,402-fv-765,Observed abnormal vibration; suspected cavitation. Seal temperature elevated.,,2024-06-26 16:12,Agus,Area-100
WO-550179,2025-12-25,pt-1760,checked; sensor element failure (rtd/tc); fixed,2025-12-25 14:49,2025-12-25 19:03,Sari,Area-400
WO-550022,2023-06-01,303 M 005,inspected; ok after,2023-06-01 09:13,2023-06-02 01:59,Agus,Area-200
